Date : 2024-05-22 15:15:52
Directory : /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib
Total : 45 files,  1237 codes, 28 comments, 187 blanks, all 1452 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |         45 |      1,237 |         28 |        187 |      1,452 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |         45 |      1,237 |         28 |        187 |      1,452 |
| . (Files)                                                                                                                |          1 |         25 |          0 |          8 |         33 |
| core                                                                                                                     |         14 |        385 |          9 |         44 |        438 |
| core/error                                                                                                               |          2 |          8 |          0 |          2 |         10 |
| core/network                                                                                                             |          1 |         11 |          0 |          4 |         15 |
| core/routes                                                                                                              |          2 |         73 |          7 |         11 |         91 |
| core/theme                                                                                                               |          3 |         19 |          0 |          7 |         26 |
| core/usecase                                                                                                             |          1 |          6 |          0 |          3 |          9 |
| core/utils                                                                                                               |          2 |          0 |          0 |          3 |          3 |
| core/widgets                                                                                                             |          3 |        268 |          2 |         14 |        284 |
| features                                                                                                                 |         30 |        827 |         19 |        135 |        981 |
| features/achievments                                                                                                     |          1 |         22 |          2 |          5 |         29 |
| features/achievments/presentation                                                                                        |          1 |         22 |          2 |          5 |         29 |
| features/achievments/presentation/pages                                                                                  |          1 |         22 |          2 |          5 |         29 |
| features/auth                                                                                                            |         15 |        455 |          6 |         93 |        554 |
| features/auth/data                                                                                                       |          3 |        151 |          1 |         22 |        174 |
| features/auth/data/datasources                                                                                           |          1 |         80 |          0 |         12 |         92 |
| features/auth/data/models                                                                                                |          1 |         33 |          0 |          4 |         37 |
| features/auth/data/repositories                                                                                          |          1 |         38 |          1 |          6 |         45 |
| features/auth/domain                                                                                                     |          5 |         82 |          2 |         20 |        104 |
| features/auth/domain/entities                                                                                            |          1 |         14 |          0 |          2 |         16 |
| features/auth/domain/repositories                                                                                        |          1 |         14 |          0 |          3 |         17 |
| features/auth/domain/usecases                                                                                            |          3 |         54 |          2 |         15 |         71 |
| features/auth/presentation                                                                                               |          7 |        222 |          3 |         51 |        276 |
| features/auth/presentation/bloc                                                                                          |          3 |         82 |          3 |         31 |        116 |
| features/auth/presentation/pages                                                                                         |          2 |         90 |          0 |         12 |        102 |
| features/auth/presentation/widgets                                                                                       |          2 |         50 |          0 |          8 |         58 |
| features/explore                                                                                                         |          1 |         12 |          0 |          4 |         16 |
| features/explore/presentation                                                                                            |          1 |         12 |          0 |          4 |         16 |
| features/explore/presentation/pages                                                                                      |          1 |         12 |          0 |          4 |         16 |
| features/goals                                                                                                           |          7 |         64 |          2 |         11 |         77 |
| features/goals/data                                                                                                      |          3 |          0 |          0 |          3 |          3 |
| features/goals/data/datasources                                                                                          |          1 |          0 |          0 |          1 |          1 |
| features/goals/data/models                                                                                               |          1 |          0 |          0 |          1 |          1 |
| features/goals/data/repositories                                                                                         |          1 |          0 |          0 |          1 |          1 |
| features/goals/domain                                                                                                    |          3 |          0 |          0 |          3 |          3 |
| features/goals/domain/entities                                                                                           |          1 |          0 |          0 |          1 |          1 |
| features/goals/domain/repositories                                                                                       |          1 |          0 |          0 |          1 |          1 |
| features/goals/domain/usecases                                                                                           |          1 |          0 |          0 |          1 |          1 |
| features/goals/presentation                                                                                              |          1 |         64 |          2 |          5 |         71 |
| features/goals/presentation/pages                                                                                        |          1 |         64 |          2 |          5 |         71 |
| features/home                                                                                                            |          1 |         50 |          2 |          5 |         57 |
| features/home/presentation                                                                                               |          1 |         50 |          2 |          5 |         57 |
| features/home/presentation/pages                                                                                         |          1 |         50 |          2 |          5 |         57 |
| features/profile                                                                                                         |          1 |        129 |          6 |          4 |        139 |
| features/profile/presentation                                                                                            |          1 |        129 |          6 |          4 |        139 |
| features/profile/presentation/pages                                                                                      |          1 |        129 |          6 |          4 |        139 |
| features/search                                                                                                          |          1 |         18 |          0 |          4 |         22 |
| features/search/presentation                                                                                             |          1 |         18 |          0 |          4 |         22 |
| features/search/presentation/pages                                                                                       |          1 |         18 |          0 |          4 |         22 |
| features/settings                                                                                                        |          1 |         36 |          1 |          3 |         40 |
| features/settings/presentation                                                                                           |          1 |         36 |          1 |          3 |         40 |
| features/settings/presentation/pages                                                                                     |          1 |         36 |          1 |          3 |         40 |
| features/tasks                                                                                                           |          2 |         41 |          0 |          6 |         47 |
| features/tasks/data                                                                                                      |          1 |         29 |          0 |          4 |         33 |
| features/tasks/data/models                                                                                               |          1 |         29 |          0 |          4 |         33 |
| features/tasks/domain                                                                                                    |          1 |         12 |          0 |          2 |         14 |
| features/tasks/domain/entities                                                                                           |          1 |         12 |          0 |          2 |         14 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                 | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/core/error/exception.dart                                      | Dart     |          4 |          0 |          1 |          5 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/core/error/failure.dart                                        | Dart     |          4 |          0 |          1 |          5 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/core/network/connection_checker.dart                           | Dart     |         11 |          0 |          4 |         15 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/core/routes/routes.dart                                        | Dart     |         61 |          0 |          5 |         66 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/core/routes/routes.g.dart                                      | Dart     |         12 |          7 |          6 |         25 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/core/theme/app_pallete.dart                                    | Dart     |         14 |          0 |          2 |         16 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/core/theme/fonts.dart                                          | Dart     |          5 |          0 |          3 |          8 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/core/theme/theme.dart                                          | Dart     |          0 |          0 |          2 |          2 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/core/usecase/usecase.dart                                      | Dart     |          6 |          0 |          3 |          9 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/core/utils/error.dart                                          | Dart     |          0 |          0 |          1 |          1 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/core/utils/fonts.dart                                          | Dart     |          0 |          0 |          2 |          2 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/core/widgets/appbar.dart                                       | Dart     |         55 |          1 |          5 |         61 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/core/widgets/drawer.dart                                       | Dart     |        152 |          1 |          4 |        157 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/core/widgets/navbar.dart                                       | Dart     |         61 |          0 |          5 |         66 |
| /Users/nikitashilov/Projects/Flutter_projects/nail_it/lib/features/achievments/presentation/pages/achievment_screen.dart | Dart     |         22 |          2 |          5 |         29 |
